recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,attributes_patterns,POS_all,cluster,sentiment_scores_noun_pos_vader,sentiment_score_noun_pos_vader,sentiment_scores_all_pos_vader,sentiment_score_all_pos_vader,sentiment_score_review_spacy,sentiment_score_noun_pos_spacy,sentiment_score_all_pos_spacy,consistency_noun_pos_vader,consistency_all_pos_vader,consistency_review_spacy,consistency_noun_pos_spacy,consistency_all_pos_spacy
157381688,english,this game reminds me of the times my father used to take me to the local mcdonald's and buy me a happy meal,1706846403,1706846403,True,0,0,0.0,0,True,False,False,True,,,,76561198442968617,0,14,5296,2090,4805,1707104827,"['local mcdonald', 'happy meal']","['game', 'reminds', 'times', 'father', 'used', 'take', 'local', 'mcdonald', 'buy', 'happy', 'meal']",0,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.13333333333333333,0.4,0.13333333333333333,consistent,inconsistent,consistent,consistent,consistent
157377061,english,fun,1706840455,1706840455,True,0,1,0.0,0,True,False,False,True,,,,76561198132226125,132,35,1832,1496,1082,1707102854,[],['fun'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3,0.0,0.3,inconsistent,inconsistent,consistent,inconsistent,consistent
157366067,english,party animals is probably one of the best games on steam. i love animals.,1706827474,1706827474,True,0,0,0.0,0,True,False,False,True,,,,76561199138125093,0,2,10172,592,9872,1707097874,['best games'],"['party', 'animals', 'is', 'probably', 'best', 'games', 'steam', 'i', 'love', 'animals']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.75,1.0,0.75,inconsistent,inconsistent,consistent,consistent,consistent
157352169,english,i get to bet rin butt :),1706812501,1706812501,True,1,0,0.5238095521926879,0,True,False,False,True,,,,76561199147012923,0,7,4651,867,4338,1706941798,['rin butt'],"['i', 'get', 'bet', 'rin', 'butt']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5,0.0,0.0,inconsistent,inconsistent,consistent,inconsistent,inconsistent
157334864,english,my mom plays this game 00,1706797477,1706797477,True,0,0,0.4929577410221099,0,True,False,False,True,,,,76561199364079235,44,2,2012,1401,1700,1707114597,[],"['mom', 'plays', 'game']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.4,0.0,-0.4,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157334766,english,人生必玩游戏。,1706797399,1706797399,True,0,0,0.0,0,True,False,False,True,,,,76561199072851494,397,5,10973,783,10809,1707028060,[],['人生必玩游戏。'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157313992,english,add a ferret as a character,1706773800,1706773800,True,0,0,0.0,0,True,False,False,True,,,,76561199238956294,0,6,4247,797,3634,1707088284,[],"['add', 'ferret', 'character']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157311763,english,10/10 you can punch cats,1706770706,1706770706,True,1,0,0.0,0,True,False,False,True,,,,76561198084176716,261,12,2908,1496,2522,1707110245,[],"['punch', 'cats']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157273140,english,"this game is a lot like gambling, you either get a trash teammate that can't even throw punches properly and makes you question buying the game, or you get a absolute god that carries you through your game, now i will tell you to buy this game if you have friends since you can team up and not risk of getting a bad teammate, also for some reason half of the players that have a mic are drunk men that like to scream at little kids and the other half are little kids that scream at the game being unfair, i recommend this game if you have friends and can roast drunk old men in their grandma's basement, but don't be surprised if someone using the levi skin starts being toxic.",1706723386,1706723386,True,0,1,0.0,0,True,False,False,True,,,,76561198993785194,0,6,3716,1636,2871,1707100865,"['bad teammate', 'little kids', 'other half', 'little kids', 'old men']","['game', 'is', 'lot', 'gambling', 'either', 'get', 'trash', 'teammate', ""n't"", 'even', 'throw', 'punches', 'properly', 'makes', 'question', 'buying', 'game', 'get', 'absolute', 'god', 'carries', 'game', 'now', 'i', 'tell', 'buy', 'game', 'have', 'friends', 'team', 'up', 'not', 'risk', 'getting', 'bad', 'teammate', 'also', 'reason', 'half', 'players', 'have', 'mic', 'are', 'drunk', 'men', 'like', 'scream', 'little', 'kids', 'other', 'half', 'are', 'little', 'kids', 'scream', 'game', 'being', 'unfair', 'i', 'recommend', 'game', 'have', 'friends', 'roast', 'drunk', 'old', 'men', 'grandma', 'basement', 'do', ""n't"", 'be', 'surprised', 'someone', 'using', 'levi', 'skin', 'starts', 'being', 'toxic']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.2649122807017544,-0.21111111111111105,-0.2649122807017544,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157259563,english,"the game was awesome at the beginning, but they managed to ruin it:
1. due to a low player count, there were instances of imbalanced lobbies with level 100 players facing off against level 10 players. to address this, they increased the hitbox/rate for lowlevel players and decreased it for highlevel players. despite widespread complaints, no actions have been taken. (i played it on a lowlevel account, and the hit rate is insane....)
2. after a few months since the game's launch, the ingame currency system is already broken. most levelup rewards consist of ""cookies"", which are almost useless because the best skins require real money. a reward cap was implemented a few weeks ago, limiting players to receive max 2 rewards per day. despite daily forum posts (23 every day), they only recently increased the cap to 3 rewards. however, the majority of rewards are still cookies, and the overall quantity has decreased. this means that players have to invest more time but receive fewer rewards.
3. the patch notes doesn't include everything that was changed into the game.

unfortunately the game is slowly going down... if they would like to refund me, i ll return the game immediately.",1706709986,1706709986,False,3,1,0.4968589842319488,0,True,False,False,True,,,,76561197992827122,0,2,9843,825,9575,1707078270,"['low player', 'imbalanced lobbies', 'widespread complaints', 'few months', 'levelup rewards', 'best skins', 'real money', 'reward cap', 'few weeks', 'daily forum', 'overall quantity', 'more time', 'fewer rewards']","['game', 'was', 'awesome', 'beginning', 'managed', 'ruin', 'due', 'low', 'player', 'count', 'were', 'instances', 'imbalanced', 'lobbies', 'level', 'players', 'facing', 'level', 'players', 'address', 'increased', 'hitbox/rate', 'lowlevel', 'players', 'decreased', 'highlevel', 'players', 'widespread', 'complaints', 'actions', 'have', 'been', 'taken', 'i', 'played', 'lowlevel', 'account', 'hit', 'rate', 'is', 'insane', '....', 'few', 'months', 'game', 'launch', 'ingame', 'currency', 'system', 'is', 'already', 'broken', 'most', 'levelup', 'rewards', 'consist', 'cookies', 'are', 'almost', 'useless', 'best', 'skins', 'require', 'real', 'money', 'reward', 'cap', 'was', 'implemented', 'few', 'weeks', 'ago', 'limiting', 'players', 'receive', 'max', 'rewards', 'day', 'daily', 'forum', 'posts', 'day', 'only', 'recently', 'increased', 'cap', 'rewards', 'however', 'majority', 'rewards', 'are', 'still', 'cookies', 'overall', 'quantity', 'has', 'decreased', 'means', 'players', 'have', 'invest', 'more', 'time', 'receive', 'fewer', 'rewards', 'patch', 'notes', 'does', ""n't"", 'include', 'everything', 'was', 'changed', 'game', 'unfortunately', 'game', 'is', 'slowly', 'going', 'like', 'refund', 'i', 'll', 'return', 'game', 'immediately']",0,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.836}",0.836,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.11463675213675212,0.1625,-0.09687499999999999,inconsistent,inconsistent,consistent,inconsistent,consistent
157255114,english,fun little game i like it it's fun with friends i reccomand it!,1706705191,1706705191,True,0,0,0.0,0,True,False,False,True,,,,76561199221008559,39,1,4596,4596,1715,1707083553,"['little game', 'friends i']","['fun', 'little', 'game', 'i', ""'s"", 'fun', 'friends', 'i', 'reccomand']",0,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}",0.4767,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.02187499999999999,-0.29375,0.003124999999999989,consistent,inconsistent,consistent,inconsistent,consistent
157231670,english,i haven't truly laughed over a game in so long. the gameplay is pure chaos and there's so many funny and cool animals to choose from. i just hope this game doesn't turn into fall guys.,1706670574,1706823816,True,0,0,0.0,0,True,False,False,True,,,,76561199083646013,0,3,2610,1051,2610,1706793438,"['pure chaos', 'cool animals']","['i', 'have', ""n't"", 'truly', 'laughed', 'game', 'so', 'long', 'gameplay', 'is', 'pure', 'chaos', ""'s"", 'so', 'many', 'funny', 'cool', 'animals', 'choose', 'i', 'just', 'hope', 'game', 'does', ""n't"", 'turn', 'guys']",0,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}",0.3182,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.14553571428571427,0.28214285714285714,0.14553571428571427,consistent,inconsistent,consistent,consistent,consistent
157196303,english,bruhhhh,1706631336,1706631336,True,0,0,0.0,0,True,False,False,True,,,,76561198297014529,0,7,4278,1608,3802,1707069832,[],['bruhhhh'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157105807,english,"amazing game and especially amazing update! thanks to the friend pass my friend have manage to play it and try it, now it will probably buy it too cuz he liked a lot the game so then we can invite even more friends to do the 4v4! i hope they will keep the friend pass so i can convince other friends to play this game cuz it's fun :d",1706517497,1706517783,True,0,0,0.0,0,True,False,False,True,,,,76561198372295943,0,24,4609,2303,3106,1707095044,"['amazing game', 'amazing update', 'more friends', 'other friends']","['amazing', 'game', 'especially', 'amazing', 'update', 'thanks', 'friend', 'pass', 'friend', 'have', 'manage', 'play', 'try', 'now', 'probably', 'buy', 'too', 'cuz', 'liked', 'lot', 'game', 'so', 'then', 'invite', 'even', 'more', 'friends', 'do', 'i', 'hope', 'keep', 'friend', 'pass', 'i', 'convince', 'other', 'friends', 'play', 'game', 'cuz', ""'s"", 'fun', 'd']",0,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",0.5859,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2,0.23500000000000004,0.18750000000000003,consistent,inconsistent,consistent,consistent,consistent
157046944,english,w,1706453397,1706453397,True,0,0,0.0,0,True,False,False,True,,,,76561199400225918,0,1,1947,1947,413,1707098748,[],['w'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157036145,english,yes,1706444045,1707087291,True,0,0,0.0,0,True,False,False,True,,,,76561197991410521,0,1,2958,1305,2958,1707043215,[],['yes'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156919804,english,one of the best fun multiplayer games ever honestly,1706329574,1706329574,True,0,0,0.0,0,True,False,False,True,,,,76561198356048792,0,1,3450,738,3178,1706918959,['best fun'],"['best', 'fun', 'multiplayer', 'games', 'ever', 'honestly']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.6333333333333333,0.65,0.6333333333333333,inconsistent,inconsistent,consistent,consistent,consistent
156876174,english,add more map & more game.. shooting game.. running game..escape game..hunting game,1706285242,1706285242,True,0,0,0.0,0,True,True,False,True,,,,76561199049541584,62,1,6404,665,6027,1707064045,"['more map', 'more game']","['add', 'more', 'map', 'more', 'game', '..', 'shooting', 'game', '..', 'running', 'game', '..', 'escape', 'game', '..', 'hunting', 'game']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.040000000000000015,0.19999999999999998,-0.14285714285714285,inconsistent,inconsistent,inconsistent,consistent,inconsistent
156824723,english,love playing this game when i come home from work. its so fun!,1706227331,1706227331,True,0,0,0.0,0,True,False,False,True,,,,76561199138158063,21,2,8707,825,8121,1707086291,[],"['love', 'playing', 'game', 'i', 'come', 'home', 'work', 'fun']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.15833333333333333,0.0,0.13333333333333333,inconsistent,inconsistent,consistent,inconsistent,consistent
156824385,english,wa khnb,1706226919,1706226919,True,0,0,0.0,0,True,False,False,True,,,,76561199208142419,0,7,5104,564,4567,1707088591,[],"['wa', 'khnb']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156813493,english,party animals makes my penis rise,1706215720,1706215720,True,1,0,0.5172414183616638,0,True,False,False,True,,,,76561198444583780,0,3,2729,886,1842,1707062149,[],"['party', 'animals', 'makes', 'penis', 'rise']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156813334,english,"game funny

add raccoon, marmot, or rat to the game and i might never put this game down.",1706215562,1706215562,True,0,0,0.0,0,True,False,False,True,,,,76561198096023606,169,9,5093,699,4397,1706757180,"['game funny', 'funny add']","['game', 'funny', 'add', 'raccoon', 'marmot', 'rat', 'game', 'i', 'never', 'put', 'game', 'down']",0,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.22111111111111112,0.033333333333333326,-0.22111111111111112,consistent,inconsistent,inconsistent,consistent,inconsistent
156809844,english,awesome game!,1706212270,1706212270,True,0,0,0.0,0,True,False,False,True,,,,76561199526095485,0,1,5153,1868,3486,1707090841,['awesome game'],"['awesome', 'game']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.25,0.3,0.3,inconsistent,inconsistent,consistent,consistent,consistent
156805745,english,fun game,1706208591,1706208591,True,1,0,0.5238095521926879,0,True,False,False,True,,,,76561198204018519,0,1,7211,1495,5777,1707059222,[],"['fun', 'game']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.05000000000000002,0.0,-0.05000000000000002,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156785781,english,it is relly fun,1706192723,1706192723,True,0,0,0.4883968830108642,0,True,False,False,True,,,,76561199571896416,0,1,2554,1879,1600,1707072953,[],"['is', 'relly', 'fun']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3,0.0,0.3,inconsistent,inconsistent,consistent,inconsistent,consistent
156784425,english,"bots, cheaters and bugs!",1706191692,1706191692,False,1,1,0.4883968830108642,0,True,False,False,True,,,,76561199190990518,0,1,3014,2543,612,1706905873,[],"['bots', 'cheaters', 'bugs']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,consistent,inconsistent
156783606,english,"im fucking pro
",1706191031,1706191031,True,0,0,0.4883968830108642,0,True,False,False,True,,,,76561198988293131,0,1,5070,2254,3048,1707115645,[],"['im', 'fucking', 'pro']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.6,0.0,-0.6,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156760112,english,this is my current addiction,1706165393,1706165393,True,0,0,0.0,0,True,False,False,True,,,,76561198125020828,0,2,3948,705,3242,1706856548,['current addiction'],"['is', 'current', 'addiction']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156741647,english,"madness game xd , really good way to destress from work xd . i can imagine all the animals are like the colleagues at work.",1706143667,1706143667,True,0,0,0.4978421628475189,0,True,False,False,True,,,,76561198078928511,0,6,2014,1123,1143,1707064005,"['madness game', 'good way']","['madness', 'game', 'xd', 'really', 'good', 'way', 'destress', 'work', 'xd', 'i', 'imagine', 'animals', 'are', 'colleagues', 'work']",0,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.14999999999999997,0.14999999999999997,0.14999999999999997,consistent,inconsistent,consistent,consistent,consistent
156740068,english,fun game but they badly need to sort out instant death when you get hit once with weapons. it's completely random if you'll die or not and it's utterly stupid.,1706141661,1706141661,True,0,0,0.4978421628475189,0,True,False,False,True,,,,76561198307489798,0,2,5119,675,4712,1707095583,"['fun game', 'instant death', 'utterly stupid']","['fun', 'game', 'badly', 'need', 'sort', 'instant', 'death', 'get', 'hit', 'once', 'weapons', ""'s"", 'completely', 'random', 'die', 'not', ""'s"", 'utterly', 'stupid']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.3499999999999999,-0.22499999999999998,-0.15,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156712099,english,fun,1706113801,1706113801,True,0,0,0.0,0,True,False,False,True,,,,76561199562960399,0,1,4897,2211,2828,1707111483,[],['fun'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3,0.0,0.3,inconsistent,inconsistent,consistent,inconsistent,consistent
156699519,english,very fun,1706102538,1706102538,True,0,0,0.0,0,True,False,False,True,,,,76561199310654405,0,1,4372,1631,2938,1707024029,[],"['very', 'fun']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.39,0.0,0.39,inconsistent,inconsistent,consistent,inconsistent,consistent
156651089,english,you can be a fuzzy creature and beat up your friends,1706039735,1706039735,True,0,0,0.0,0,True,False,False,True,,,,76561198127429283,152,8,5798,1736,4246,1706917819,['fuzzy creature'],"['be', 'fuzzy', 'creature', 'beat', 'friends']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
156636698,english,재밌음,1706025711,1706025711,True,0,0,0.0,0,True,False,False,True,,,,76561199582309192,0,1,4722,1246,3590,1707058722,[],['재밌음'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
